developer,release_year,items_count,items_count_free,free_percent,look_developer
3D Realms,1996.0,1,1.0,100.0,3drealms
3D Realms (Apogee Software),1990.0,2,0.0,0.0,3drealms(apogeesoftware)
3D Realms (Apogee Software),1991.0,3,0.0,0.0,3drealms(apogeesoftware)
3D Realms (Apogee Software),1992.0,2,0.0,0.0,3drealms(apogeesoftware)
3D Realms (Apogee Software),1993.0,3,0.0,0.0,3drealms(apogeesoftware)
3D Realms (Apogee Software),1994.0,1,0.0,0.0,3drealms(apogeesoftware)
3D Realms (Apogee Software),1995.0,1,0.0,0.0,3drealms(apogeesoftware)
3D Realms (Apogee Software),1997.0,1,0.0,0.0,3drealms(apogeesoftware)
3D2 Entertainment,2017.0,2,0.0,0.0,3d2entertainment
3DClouds.it,2017.0,2,0.0,0.0,3dclouds.it
3DDUO,2016.0,5,0.0,0.0,3dduo
3DDUO,2017.0,3,0.0,0.0,3dduo
3Dflow SRL,2016.0,1,0.0,0.0,3dflowsrl
3Division,2016.0,4,0.0,0.0,3division
3GoGames,2017.0,1,0.0,0.0,3gogames
3f Interactive,2012.0,1,0.0,0.0,3finteractive
3f Interactive,2013.0,1,0.0,0.0,3finteractive
3y3.net,2017.0,1,0.0,0.0,3y3.net
4 Door Lemon,2016.0,1,0.0,0.0,4doorlemon
4 Friends Games,2017.0,2,0.0,0.0,4friendsgames
4 Head Studios,2006.0,1,0.0,0.0,4headstudios
4 Head Studios,2007.0,1,0.0,0.0,4headstudios
4 I Lab,2016.0,3,1.0,33.33,4ilab
4 I Lab,2017.0,1,0.0,0.0,4ilab
4-Panel Footprint,2015.0,2,0.0,0.0,4-panelfootprint
40Ggames,2017.0,1,0.0,0.0,40ggames
48h Studio,2014.0,1,0.0,0.0,48hstudio
49 Games,2007.0,1,0.0,0.0,49games
49 Games,2008.0,1,0.0,0.0,49games
4A Games,2014.0,2,0.0,0.0,4agames
4Bit Games,2015.0,1,0.0,0.0,4bitgames
4D Door Games,2017.0,2,0.0,0.0,4ddoorgames
"4EdgesGames,Visumeca",2016.0,1,0.0,0.0,"4edgesgames,visumeca"
4FreaksFiction,2017.0,1,0.0,0.0,4freaksfiction
4Friends Games,2015.0,1,0.0,0.0,4friendsgames
4HEAD Studios,2002.0,1,0.0,0.0,4headstudios
4Head Studios,2008.0,1,0.0,0.0,4headstudios
4NetGames,2015.0,1,0.0,0.0,4netgames
4Realms,2015.0,1,0.0,0.0,4realms
4SKY Game Studio,2017.0,1,0.0,0.0,4skygamestudio
4gency,2016.0,1,0.0,0.0,4gency
4sdk,2010.0,1,0.0,0.0,4sdk
4th cluster,2016.0,1,0.0,0.0,4thcluster
4th cluster,2017.0,2,2.0,100.0,4thcluster
5 Bits Games,2014.0,1,0.0,0.0,5bitsgames
5 Lives Studios,2015.0,4,0.0,0.0,5livesstudios
505 Games,2013.0,3,0.0,0.0,505games
51Pegasi Studios,2016.0,1,0.0,0.0,51pegasistudios
"51Pegasi Studios,Connor Lourenco",2017.0,1,0.0,0.0,"51pegasistudios,connorlourenco"
55 Revolver,2016.0,1,0.0,0.0,55revolver
5Wolf,2016.0,2,0.0,0.0,5wolf
5d Games GmbH,2017.0,1,0.0,0.0,5dgamesgmbh
5th Cell Media,2012.0,1,0.0,0.0,5thcellmedia
5th Cell Media,2013.0,1,0.0,0.0,5thcellmedia
5th Planet Games,2017.0,1,1.0,100.0,5thplanetgames
651 GAMES,2017.0,1,0.0,0.0,651games
68k Studios,2017.0,1,0.0,0.0,68kstudios
6L6 Interactive,2016.0,1,0.0,0.0,6l6interactive
7 Generation Games,2016.0,1,0.0,0.0,7generationgames
7 Raven Studios,2016.0,3,0.0,0.0,7ravenstudios
7 Raven Studios,2017.0,1,0.0,0.0,7ravenstudios
7 Road,2016.0,1,1.0,100.0,7road
7 Soft Pillows,2015.0,2,0.0,0.0,7softpillows
71Games,2017.0,1,0.0,0.0,71games
773,2012.0,1,0.0,0.0,773
773,2014.0,1,0.0,0.0,773
773,2016.0,1,0.0,0.0,773
777 Studios,2013.0,8,1.0,12.5,777studios
777 Studios,2014.0,1,0.0,0.0,777studios
777 Studios,2015.0,2,0.0,0.0,777studios
"7Config,BadDoge",2016.0,1,0.0,0.0,"7config,baddoge"
7DOTS,2017.0,2,0.0,0.0,7dots
7K Games,2016.0,1,0.0,0.0,7kgames
7TPGames,2016.0,1,0.0,0.0,7tpgames
8-Bit Studio,2017.0,4,1.0,25.0,8-bitstudio
800 North,2017.0,1,0.0,0.0,800north
800 North and Digital Ranch,2011.0,1,0.0,0.0,800northanddigitalranch
800 North and Digital Ranch,2014.0,1,0.0,0.0,800northanddigitalranch
800 North and Digital Ranch,2015.0,1,0.0,0.0,800northanddigitalranch
8888888 LABS,2013.0,1,0.0,0.0,8888888labs
88mm,2014.0,2,0.0,0.0,88mm
89AM Studio,2016.0,1,0.0,0.0,89amstudio
89AM Studio,2017.0,1,0.0,0.0,89amstudio
8D Studio,2015.0,1,0.0,0.0,8dstudio
8Floor,2015.0,2,0.0,0.0,8floor
8monkey Labs,2009.0,1,0.0,0.0,8monkeylabs
8th Floor Games,2013.0,1,0.0,0.0,8thfloorgames
9 Eyes Game Studio,2017.0,1,0.0,0.0,9eyesgamestudio
971 Games,2016.0,1,0.0,0.0,971games
9heads Game Studios,2012.0,2,0.0,0.0,9headsgamestudios
9heads Game Studios,2014.0,1,0.0,0.0,9headsgamestudios
@VincentLTower,2017.0,1,0.0,0.0,@vincentltower
@YearOfTheBob,2017.0,1,1.0,100.0,@yearofthebob
@lukasinspace,2017.0,2,0.0,0.0,@lukasinspace
@unepic_fran,2014.0,1,0.0,0.0,@unepic_fran
@unepic_fran,2016.0,3,0.0,0.0,@unepic_fran
@unepic_fran,2017.0,2,0.0,0.0,@unepic_fran
"A &amp; B Game Studios, LLC",2016.0,1,0.0,0.0,"a&amp;bgamestudios,llc"
A Crowd of Monsters,2015.0,4,0.0,0.0,acrowdofmonsters
"A Crowd of Monsters,Sonotrigger",2015.0,1,0.0,0.0,"acrowdofmonsters,sonotrigger"
A Jolly Corpse,2014.0,1,0.0,0.0,ajollycorpse
A Maniacal Game LP,2017.0,1,0.0,0.0,amaniacalgamelp
"A Sharp, LLC",2015.0,1,0.0,0.0,"asharp,llc"
A Stranger Gravity,2015.0,2,0.0,0.0,astrangergravity
A Sweet Studio,2017.0,1,0.0,0.0,asweetstudio
A and F studios,2017.0,1,0.0,0.0,aandfstudios
"A-Flight,Caipirinha Games",2017.0,1,0.0,0.0,"a-flight,caipirinhagames"
"A. Fruit,Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016.0,1,0.0,0.0,"a.fruit,alexeybokulev,sergeiklimov,charlieoscarlimatangointeractiveentertainment"
A. Hagen,2016.0,1,1.0,100.0,a.hagen
A.J Starkey Enterprises,2015.0,2,0.0,0.0,a.jstarkeyenterprises
A.Lepunov,2017.0,2,0.0,0.0,a.lepunov
A.Y.std,2016.0,1,0.0,0.0,a.y.std
A2A Simulations,2015.0,5,0.0,0.0,a2asimulations
AA Games,2017.0,1,0.0,0.0,aagames
AAAGAMES s.r.o.,2016.0,1,0.0,0.0,aaagamess.r.o.
AAD Productions,2014.0,1,0.0,0.0,aadproductions
AB SOFT,2017.0,1,0.0,0.0,absoft
ACD Systems International Inc.,2012.0,1,0.0,0.0,acdsystemsinternationalinc.
"ACE Ed-Venture Studio,Artoncode™",2017.0,1,0.0,0.0,"aceed-venturestudio,artoncode™"
ACE MADDOX,2015.0,1,0.0,0.0,acemaddox
ACE MADDOX,2017.0,1,0.0,0.0,acemaddox
ACE Team,2009.0,1,0.0,0.0,aceteam
ACE Team,2011.0,1,0.0,0.0,aceteam
ACE Team,2013.0,1,0.0,0.0,aceteam
ACE Team,2014.0,2,0.0,0.0,aceteam
ACE Team,2016.0,1,0.0,0.0,aceteam
ACE Team,2017.0,2,0.0,0.0,aceteam
ACQUIRE Corp.,2012.0,1,0.0,0.0,acquirecorp.
ACQUIRE Corp.,2015.0,3,0.0,0.0,acquirecorp.
ACQUIRE Corp.,2016.0,4,0.0,0.0,acquirecorp.
"ACSourse,Gamieon, Inc.",2016.0,1,1.0,100.0,"acsourse,gamieon,inc."
AECRNIA,2017.0,2,0.0,0.0,aecrnia
AEL Entertainment,2016.0,1,0.0,0.0,aelentertainment
AEL Entertainment,2017.0,1,0.0,0.0,aelentertainment
AFStudio,2017.0,1,0.0,0.0,afstudio
AG media,2016.0,1,0.0,0.0,agmedia
AGC,2015.0,1,0.0,0.0,agc
AGO Games,2015.0,1,0.0,0.0,agogames
AGP::Studios,2016.0,1,0.0,0.0,agp::studios
AHA Entertainment,2016.0,1,1.0,100.0,ahaentertainment
AHEARTFULOFGAMES,2016.0,2,0.0,0.0,aheartfulofgames
AIGRIND,2017.0,3,2.0,66.67,aigrind
AIHASTO,2017.0,1,0.0,0.0,aihasto
AIVIK LLC,2016.0,2,0.0,0.0,aivikllc
AK Games,2016.0,1,0.0,0.0,akgames
AKGames,2015.0,2,0.0,0.0,akgames
AL Games,2017.0,1,0.0,0.0,algames
AL-GAME,2016.0,1,0.0,0.0,al-game
AL-GAME,2017.0,1,0.0,0.0,al-game
ALEKSANDER CHIEPAIKIN,2017.0,5,0.0,0.0,aleksanderchiepaikin
ALICE IN DISSONANCE,2013.0,1,0.0,0.0,aliceindissonance
ALICE IN DISSONANCE,2015.0,3,0.0,0.0,aliceindissonance
ALICE IN DISSONANCE,2016.0,1,0.0,0.0,aliceindissonance
ALLM,2017.0,4,1.0,25.0,allm
ALLPlayer Group Ltd.,2014.0,1,0.0,0.0,allplayergroupltd.
ALTAR Interactive,2005.0,1,0.0,0.0,altarinteractive
"AMA,Mando Productions",2015.0,1,0.0,0.0,"ama,mandoproductions"
AMG GAMES,2017.0,2,0.0,0.0,amggames
AMIDEA Games,2016.0,1,0.0,0.0,amideagames
AMPLITUDE Studios,2012.0,1,0.0,0.0,amplitudestudios
AMPLITUDE Studios,2014.0,3,0.0,0.0,amplitudestudios
AMPLITUDE Studios,2015.0,9,2.0,22.22,amplitudestudios
AMPLITUDE Studios,2016.0,2,0.0,0.0,amplitudestudios
AMPLITUDE Studios,2017.0,8,7.0,87.5,amplitudestudios
AMS Game Development Association,2016.0,1,1.0,100.0,amsgamedevelopmentassociation
"AN Productions,Poxpower",2017.0,1,1.0,100.0,"anproductions,poxpower"
ANDORE,2017.0,1,0.0,0.0,andore
ANIM•ACE,2017.0,1,0.0,0.0,anim•ace
ANPA.US,2015.0,3,0.0,0.0,anpa.us
ANPA.US,2016.0,6,0.0,0.0,anpa.us
ANV Team,2017.0,2,0.0,0.0,anvteam
AOS GAME,2015.0,1,0.0,0.0,aosgame
APAS games,2015.0,1,0.0,0.0,apasgames
APGal,2017.0,1,0.0,0.0,apgal
APPIDEMIC Studios,2015.0,1,0.0,0.0,appidemicstudios
APPLEMINT,2017.0,1,0.0,0.0,applemint
AQURIA,2017.0,1,0.0,0.0,aquria
ARB Studios,2010.0,1,0.0,0.0,arbstudios
"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017.0,4,2.0,50.0,"arcsystemworksco.,ltd.,toyboxinc."
AREA 35,2017.0,1,0.0,0.0,area35
ARES Inc.,2017.0,1,0.0,0.0,aresinc.
ARGames,2017.0,1,0.0,0.0,argames
ARS,2017.0,1,0.0,0.0,ars
ARTDINK,2008.0,2,0.0,0.0,artdink
ARTDINK,2015.0,6,1.0,16.67,artdink
ARTDINK,2016.0,1,0.0,0.0,artdink
ARTDINK,2017.0,1,0.0,0.0,artdink
ARTIFACTS,2016.0,1,0.0,0.0,artifacts
ARTIFACTS,2017.0,1,0.0,0.0,artifacts
ARdigitC,2017.0,1,0.0,0.0,ardigitc
ASC Games,2015.0,1,0.0,0.0,ascgames
ASGames,2016.0,1,0.0,0.0,asgames
ASK Homework,2012.0,1,0.0,0.0,askhomework
ASTRO PORT,2011.0,2,0.0,0.0,astroport
ASTRO PORT,2014.0,1,0.0,0.0,astroport
ASTRO PORT,2015.0,3,0.0,0.0,astroport
ASTRO PORT,2016.0,2,0.0,0.0,astroport
ASTRO PORT,2017.0,1,0.0,0.0,astroport
AT The Gate Team,2017.0,1,0.0,0.0,atthegateteam
ATTACK MOUNTAIN,2016.0,2,0.0,0.0,attackmountain
ATTACK MOUNTAIN,2017.0,2,0.0,0.0,attackmountain
AV media lab,2015.0,1,0.0,0.0,avmedialab
AVE,2016.0,1,0.0,0.0,ave
AVGames,2016.0,1,0.0,0.0,avgames
AVOlight,2017.0,1,0.0,0.0,avolight
AVP,2017.0,1,0.0,0.0,avp
AWE Games,2006.0,1,0.0,0.0,awegames
AYE Technology,2017.0,3,0.0,0.0,ayetechnology
AZ-Art Development Studio,2015.0,1,0.0,0.0,az-artdevelopmentstudio
AZAMATIKA,2016.0,1,0.0,0.0,azamatika
Aardman Animations,2014.0,1,0.0,0.0,aardmananimations
